18000,17100,16200,15300,15300
15400,15400,15600,15800,16000
15800,15500,15200,15100,15000
14900,15000,15100,15100,15300
15500,15700,16700,17600,18500
18700,18900,19000,19100,19200
19200,19800,20400,21100,21600
22200,22800,22700,22500,22300
22700,23200,23700,23600,23500
23500,24100,24800,25400,25500
25600,25700,26400,27100,27800
27600,27400,27200,27500,27700
28000,28000,28100,28100,28500
28900,29300,29100,29000,28800
29200,29600,30000,30200,30400
30600,30500,30400,30300,30300
30200,30100,30100,30100,30200
30700,31200,31700,30900,30100
29300,29900,30500,31200,31100
31200,31200,30900,30600,30300
30700,31100,31600,31200,30800
30500,30400,30400,30400,30400
30400,30300,30000,29700,29300
29300,29400,29400,29900,30400
30900,30000,29100,28200,28200
28300,28400,28100,27800,27500
27500,27400,27400,27300,27300
27300,27100,27100,27000,26400
25800,25200,24900,24500,24200
23700,23300,22800,22700,22500
22400,22000,21500,21100,21100
21100,21100,20700,20300,19900
18800,17600,16500,16900,17400
17800,17600,17400,17100,17100
17100,17000,17500,18000,18500
18400,18300,18200,18800,19400
20000,20000,20000,20000,20800
21700,22500,22500,22400,22300
22800,23300,23700,23300,22900
22400,23200,23900,24700,24900
25200,25400,25500,25700,25800
26200,26500,26900,27800,28700
29600,29400,29100,28900,29200
29600,30000,29500,28900,28300
28700,29200,29600,29500,29400
29200,29300,29400,29500,29300
29100,28900,29100,29300,29500
29000,28500,28000,27200,27700
27000,27200,26700,26400,26500
26800,26200,26500,26800,26300
26300,26400,25900,25900,25500
25900,25500,26200,25900,25400
25700,25700,25400,25200,25500
25200,25300,25600,25600,25700
25200,25200,25200,25200,24700
24600,24700,24400,24700,24300
24400,24200,23700,24200,23900
24000,23600,24300,23700,23500
23600,23500,23500,23400,23400
22900,22900,22600,22700,22900
22500,22800,22600,22600,22200
21800,22500,21800,22200,21600
21500,21900,21200,21600,21700
21600,21400,27200,27700,27000
27200,26700,26400,26500,26800
26200,26500,26800,26300,26300
26400,25900,25900,25500,25900
25500,26200,25900,25400,25700
25700,25400,25200,25500,25200
25300,25600,25600,25700,25200
25200,25200,25200,24700,24600
24700,24400,24700,24300,24400
24200,23700,24200,23900,24000
23600,24300,23700,23500,23600
23500,23500,23400,23400,22900
22900,22600,22700,22900,22500
22800,22600,22600,22200,21800
22500,21800,22200,21600,21500
21900,21200,21600,21700,21600
21400,27200,27700,27000,27200
26700,26400,26500,26800,26200
